priority,task_name,task_staus,scanner,extra_args
1,nmap_fin_scan_aggressive,new,nmap,"-T4 -sF"
1,nmap_fin_scan_insane,new,nmap,"-T5 -sF"
1,nmap_idle_scan_aggressive,new,nmap,"-T4 -Pn -p- -sI 192.168.2.252"
1,nmap_idle_scan_insane,new,nmap,"-T5 -Pn -p- -sI 192.168.2.252"
1,nmap_null_scan_aggressive,new,nmap,"-T4 -sN"
1,nmap_null_scan_insane,new,nmap,"-T5 -sN"
1,nmap_os_svc_discovery_aggressive,new,nmap,"-T4 -A"
1,nmap_os_svc_discovery_insane,new,nmap,"-T5 -A"
1,nmap_ping_scan_aggressive,new,nmap,"-T4 -sn"
1,nmap_ping_scan_insane,new,nmap,"-T5 -sn"
1,nmap_svc_discovery_aggressive,new,nmap,"-T4 -sV"
1,nmap_svc_discovery_insane,new,nmap,"-T5 -sV"
1,nmap_tcp_full_scan_aggressive,new,nmap,"-T4 -sT"
1,nmap_tcp_full_scan_insane,new,nmap,"-T5 -sT"
1,nmap_xmas_scan_aggressive,completed,nmap,"-T4 -sX"
1,nmap_xmas_scan_insane,new,nmap,"-T5 -sX"
1,zmap_icmp_echo_scan,new,zmap,"-i eth0 --probe-module=icmp_echoscan -G 00:0c:29:75:03:77 192.168.2.0/24 -o test.csv --output-fields=*"
2,nmap_fin_scan_normal,new,nmap,"-T3 -sF"
2,nmap_idle_scan_normal,new,nmap,"-T3 -Pn -p- -sI 192.168.2.252"
2,nmap_null_scan_normal,new,nmap,"-T3 -sN"
2,nmap_os_svc_discovery_normal,new,nmap,"-T3 -A"
2,nmap_ping_scan_normal,new,nmap,"-T3 -sn"
2,nmap_svc_discovery_normal,new,nmap,"-T3 -sV"
2,nmap_tcp_full_scan_normal,new,nmap,"-T3 -sT"
2,nmap_xmas_scan_normal,new,nmap,"-T3 -sX"
3,nmap_fin_scan_polite,new,nmap,"-T2 -sF"
3,nmap_idle_scan_polite,new,nmap,"-T2 -Pn -p- -sI 192.168.2.252"
3,nmap_null_scan_polite,new,nmap,"-T2 -sN"
3,nmap_os_svc_discovery_polite,new,nmap,"-T2 -A"
3,nmap_ping_scan_polite,new,nmap,"-T2 -sn"
3,nmap_svc_discovery_polite,new,nmap,"-T2 -sV"
3,nmap_tcp_full_scan_polite,new,nmap,"-T2 -sT"
3,nmap_xmas_scan_polite,ongoing,nmap,"-T2 -sX"
4,nmap_fin_scan_sneaky,new,nmap,"-T1 -sF"
4,nmap_idle_scan_sneaky,new,nmap,"-T1 -Pn -p- -sI 192.168.2.252"
4,nmap_null_scan_sneaky,new,nmap,"-T1 -sN"
4,nmap_os_svc_discovery_sneaky,new,nmap,"-T1 -A"
4,nmap_ping_scan_sneaky,new,nmap,"-T1 -sn"
4,nmap_svc_discovery_sneaky,new,nmap,"-T1 -sV"
4,nmap_tcp_full_scan_sneaky,new,nmap,"-T1 -sT"
4,nmap_xmas_scan_sneaky,new,nmap,"-T1 -sX"
5,nmap_fin_scan_paranoid,new,nmap,"-T0 -sF"
5,nmap_idle_scan_paranoid,new,nmap,"-T0 -Pn -p- -sI 192.168.2.252"
5,nmap_null_scan_paranoid,new,nmap,"-T0 -sN"
5,nmap_os_svc_discovery_paranoid,new,nmap,"-T0 -A"
5,nmap_ping_scan_paranoid,new,nmap,"-T0 -sn"
5,nmap_svc_discovery_paranoid,new,nmap,"-T0 -sV"
5,nmap_tcp_full_scan_paranoid,new,nmap,"-T0 -sT"
5,nmap_xmas_scan_paranoid,new,nmap,"-T0 -sX"
